gnd_contradictions,gnd_chain_of_custody,gnd_illegal_search_or_raid,gnd_wrong_identification,gnd_dying_declaration_validity,gnd_circumstantial_insufficient,gnd_medical_inconsistency,gnd_misdirection_on_law,gnd_procedural_error,gnd_new_evidence,gnd_sentence_excessive_or_inadequate,gnd_delay_prejudice,gnd_judicial_bias_or_unfair_trial,gnd_other,eyewitness_present,child_witness_present,expert_evidence_present,forensic_evidence_present,dying_declaration_present,confession_present,procedural_defects_present,digital_evidence_present,hospital_treatment_details_present,total_grounds_raised,coa_year,appeal_duration_days,brief_facts_summary_length,brief_facts_summary_word_count,grounds_of_appeal_raw_text_summary_length,grounds_of_appeal_raw_text_summary_word_count,court_of_appeal_analysis_summary_length,court_of_appeal_analysis_summary_word_count,murder_with_eyewitness,drug_with_forensic,medical_evidence_score,custody_quality_score,evidence_count,grounds_to_evidence_ratio,offence_category_grouped_Customs,offence_category_grouped_Drug_Related,offence_category_grouped_Environmental,offence_category_grouped_Firearms_Weapons,offence_category_grouped_Fraud_Corruption,offence_category_grouped_Murder_Related,offence_category_grouped_Other,offence_category_grouped_Robbery_Theft,offence_category_grouped_Sexual_Offenses,offence_category_grouped_Traffic_Vehicle,medical_evidence_strength_Strong,medical_evidence_strength_Unknown,medical_evidence_strength_Weak,chain_of_custody_quality_Moderate,chain_of_custody_quality_Unknown,chain_of_custody_quality_Weak,appeal_type_simplified_Conviction_Only,appeal_type_simplified_Other,appeal_type_simplified_Revision,appeal_type_simplified_Sentence_Only,appeal_type_simplified_Writ
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.7907177243469907,0.008497564225072739,-1.0568010332276316,0.0029943614718868973,-0.12266161134367015,-0.47484147330902077,-0.40476362387533293,0.09116376212962415,-0.04881038892906489,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.020711571427789968,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.18496887366843268,0.008497564225072739,-0.3676456172390965,-0.7834142160510517,-1.0195910363271934,-0.4807345951652666,-0.5162555784004063,-0.8492914310327729,-0.8476180390671351,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,0.793220654420335,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,0.8563766887703912,-0.5853112919422199,-0.7579866207069992,-0.5219864481589878,-0.47909159355871517,-0.6759526307244096,-0.8006293537648956,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.8346437972759149,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.4207799770101253,0.008497564225072739,-1.0568010332276316,-0.7774110971386629,-0.49638220508680486,-0.0033917248093502106,-0.10745174514180407,-0.7534018819260188,-0.8006293537648956,-0.6455703229723349,-0.41658848547324623,1.3686858363326762,1.0883569997195337,1.4105022282057802,-0.56333305532654,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1.0265288276886833,0.008497564225072739,0.06179078003734139,-0.9755140212474946,-0.8701027988299396,-0.516093326302742,-0.5534195632420974,-0.9083003843292371,-0.8006293537648956,-0.6455703229723349,-0.41658848547324623,1.3686858363326762,0.23365856491153825,0.15905663424448158,0.3862545414962725,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False
0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4207799770101253,0.008497564225072739,1.0800950514233858,-0.6033206486793864,-0.6832425019583722,-0.14482664935925138,-0.10745174514180407,-0.7423377031829317,-0.8476180390671351,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,1.6071528802684598,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-0.18496887366843268,0.008497564225072739,0.31379537245105943,-1.1255919940572159,-1.0943351550758205,-0.21554411163420195,-0.03312377545842184,-0.5985033795228004,-0.5891802699048182,-0.6455703229723349,-0.41658848547324623,1.3686858363326762,1.943055434527529,1.4105022282057802,-0.8346437972759149,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.18496887366843268,0.008497564225072739,-1.0568010332276316,-0.9154828321236063,-0.8327307394556261,-0.34519279247161133,-0.40476362387533293,-0.7386496436019027,-0.6596632978581773,1.5490179216972058,-0.41658848547324623,1.3686858363326762,-0.6210398698964571,0.15905663424448158,-0.42767768435185244,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.7907177243469907,0.008497564225072739,-1.0568010332276316,-0.9515015455979393,-0.98221897695288,-0.5691314230089548,-0.40476362387533293,-0.5616227837125103,-0.40122552869586053,1.5490179216972058,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.020711571427789968,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1.0265288276886833,0.008497564225072739,-1.0568010332276316,-0.17709920589977843,-0.1600336707179836,-0.0387504559468255,0.07836817906665149,-0.6021914391038294,-0.3777311860447408,-0.6455703229723349,-0.41658848547324623,-0.1306363889319279,-0.6210398698964571,0.15905663424448158,0.3862545414962725,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
